year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,Lady - Hear Me Tonight,79,Modjo (Remastered),Modjo,['disco house'; 'filter house'],58,0.72,0.808,6.0,75.0,1.0,0.0379,0.00793,0.0293,0.0634,0.869,126.041,307154.0
2000,L'Amour Toujours,77,L'Amour Toujours,Gigi D'Agostino,['eurodance'; 'italo dance'],66,0.638,0.877,7.0,64.0,1.0,0.0302,0.0771,0.0221,0.364,0.743,139.052,242053.0
2000,Let's Get Married,58,"J,E, Heartbreak",Jagged Edge,['atl hip hop'; 'contemporary r&b'; 'r&b'; 'urban contemporary'],60,0.761,0.627,1.0,74.0,1.0,0.0538,0.175,0.0,0.128,0.891,109.821,263227.0
2000,Life Is A Rollercoaster,61,Ronan,Ronan Keating,['europop'],59,0.655,0.791,0.0,95.0,1.0,0.0302,0.1,0.000124,0.334,0.862,118.981,234827.0
2000,Lucky,69,"Oops!,,, I Did It Again",Britney Spears,['dance pop'; 'pop'],78,0.765,0.791,8.0,75.0,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0
2000,Most Girls,53,Can't Take Me Home (Expanded Edition),P!nk,['dance pop'; 'pop'],79,0.742,0.732,2.0,78.0,0.0,0.0311,0.0424,0.00446,0.101,0.694,97.922,298960.0
2000,Music,50,Music,Madonna,['dance pop'; 'pop'],79,0.736,0.802,7.0,93.0,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,225973.0
2000,My Love,72,Coast To Coast (Expanded Edition),Westlife,['boy band'],67,0.491,0.593,0.0,77.0,1.0,0.0255,0.098,0.0,0.257,0.328,144.142,231760.0
2000,Never Be The Same Again,60,Northern Star,Melanie C,['dance pop'; 'europop'; 'talent show'],53,0.689,0.685,3.0,71.0,1.0,0.0478,0.0921,0.0,0.119,0.398,160.067,294200.0
2000,Never Let You Go - 2008 Remaster,67,Blue,Third Eye Blind,['alternative metal'; 'alternative rock'; 'pop rock'; 'post-grunge'],62,0.728,0.94,4.0,70.0,1.0,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240.0
2000,No More,59,Love Crimes,Ruff Endz,['contemporary r&b'; 'r&b'],42,0.839,0.641,10.0,75.0,0.0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,242560.0
2000,Otherside,83,Californication (Deluxe Edition),Red Hot Chili Peppers,['alternative rock'; 'funk metal'; 'funk rock'; 'permanent wave'; 'rock'],80,0.458,0.795,0.0,51.0,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0
2000,Party Up,73,",,,And Then There Was X",DMX,['east coast hip hop'; 'gangster rap'; 'hardcore hip hop'; 'hip hop'; 'rap'],68,0.51,0.931,11.0,51.0,1.0,0.347,0.0738,0.0,0.5,0.53,201.936,268867.0
2000,Reach,58,"""7""",S Club,[],54,0.597,0.793,7.0,84.0,1.0,0.0361,0.0123,5.45e-06,0.157,0.755,167.2,243266.0
2000,Rise,59,Rise,GABRIELLE,['british soul'; 'europop'; 'new wave pop'],55,0.558,0.481,8.0,97.0,1.0,0.026,0.315,8.83e-06,0.09,0.631,144.673,219093.0
2000,Rock DJ,57,Sing When You're Winning,Robbie Williams,['dance rock'; 'europop'],69,0.712,0.762,7.0,63.0,1.0,0.0326,0.026,0.0,0.0981,0.842,103.032,260560.0
